"id","city","zipcode","post","county"
"4978","Raba","20356","Klek","Dubrovačko-neretvanska"
"4979","Rabac","52221","Rabac","Istarska"
"4980","Rabinja","47240","Slunj","Karlovačka"
"4981","Račak","47271","Netretić","Karlovačka"
"4982","Račice","52420","Buzet","Istarska"
"4983","Račički Brijeg","52420","Buzet","Istarska"
"4984","Račinovci","32262","Račinovci","Vukovarsko-srijemska"
"4985","Račišće","20264","Račišće","Dubrovačko-neretvanska"
"4986","Račja Vas","52422","Lanišće","Istarska"
"4987","Radakovo","49294","Kraljevec na Sutli","Krapinsko-zagorska"
"4988","Radatovići","47285","Radatovići","Karlovačka"
"4989","Radeljevo Selo","48312","Rasinja","Koprivničko-križevačka"
"4990","Radešić","42225","Breznički Hum","Varaždinska"
"4991","Radetići","52444","Tinjan","Istarska"
"4992","Radići","52448","Sveti Lovreč","Istarska"
"4993","Radići","51511","Malinska","Primorsko-goranska"
"4994","Radigojna","51325","Moravice","Primorsko-goranska"
"4995","Radikovci","31543","Miholjački Poreč","Osječko-baranjska"
"4996","Radina Gorica","10454","Krašić","Zagrebačka"
"4997","Radina Vas","47283","Vivodina","Karlovačka"
"4998","Radini","52474","Brtonigla (Verteneglio)","Istarska"
"4999","Radinovo Brdo","10455","Kostanjevac","Zagrebačka"
"5000","Radljevac","22301","Golubić","Šibensko-kninska"
"5001","Radmani","52440","Poreč (Parenzo)","Istarska"
"5002","Radmanovac","47220","Vojnić","Karlovačka"
"5003","Radnovac","34308","Jakšić","Požeško-slavonska"
"5004","Radoboj","49232","Radoboj","Krapinsko-zagorska"
"5005","Radočaj Brodski","51301","Brod na Kupi","Primorsko-goranska"
"5006","Radočaji","47262","Generalski Stol","Karlovačka"
"5007","Radoišće","10383","Komin","Zagrebačka"
"5008","Radojčići","47313","Drežnica","Karlovačka"
"5009","Radonić","22221","Lozovac","Šibensko-kninska"
"5010","Radonja","47220","Vojnić","Karlovačka"
"5011","Radonja Luka","44210","Sunja","Sisačko-moslavačka"
"5012","Radosavci","33520","Slatina","Virovitičko-podravska"
"5013","Radoševići","51325","Moravice","Primorsko-goranska"
"5014","Radoši kod Višnjana","52463","Višnjan (Visignano)","Istarska"
"5015","Radoši kod Žbandaja","52440","Poreč (Parenzo)","Istarska"
"5016","Radošić","21202","Lećevica","Splitsko-dalmatinska"
"5017","Radošić","21230","Sinj","Splitsko-dalmatinska"
"5018","Radošinovci","23422","Stankovci","Zadarska"
"5019","Radovan","42242","Radovan","Varaždinska"
"5020","Radovanci","34330","Velika","Požeško-slavonska"
"5021","Radovani","52463","Višnjan (Visignano)","Istarska"
"5022","Radovanje","35250","Oriovac","Brodsko-posavska"
"5023","Radovčići","20215","Gruda","Dubrovačko-neretvanska"
"5024","Radovec","42208","Cestica","Varaždinska"
"5025","Radovec Polje","42208","Cestica","Varaždinska"
"5026","Radovin","23248","Ražanac","Zadarska"
"5027","Raduč","53244","Lovinac","Ličko-senjska"
"5028","Radučić","22300","Knin","Šibensko-kninska"
"5029","Radulec","10342","Dubrava","Zagrebačka"
"5030","Radunić","21206","Donje Ogorje","Splitsko-dalmatinska"
"5031","Rađenovci","44323","Rajić","Sisačko-moslavačka"
"5032","Rafaeli","52463","Višnjan (Visignano)","Istarska"
"5033","Raić","43252","Prgomelje","Bjelovarsko-bilogorska"
"5034","Rajakovići","47285","Radatovići","Karlovačka"
"5035","Rajčići","44323","Rajić","Sisačko-moslavačka"
"5036","Rajevo Selo","32261","Rajevo Selo","Vukovarsko-srijemska"
"5037","Rajić","44323","Rajić","Sisačko-moslavačka"
"5038","Rajić Brdo","47220","Vojnić","Karlovačka"
"5039","Rajino Polje","33514","Čačinci","Virovitičko-podravska"
"5040","Rajki","52448","Sveti Lovreč","Istarska"
"5041","Rajki","52207","Barban","Istarska"
"5042","Rajsavac","34308","Jakšić","Požeško-slavonska"
"5043","Rakalj","52208","Krnica","Istarska"
"5044","Rakitje","10437","Bestovje","Zagrebačka"
"5045","Rakitnica","48350","Đurđevac","Koprivničko-križevačka"
"5046","Rakitovec","10419","Vukovina","Zagrebačka"
"5047","Rakitovica","31543","Miholjački Poreč","Osječko-baranjska"
"5048","Rakotule","52423","Karojba","Istarska"
"5049","Rakov Potok","10436","Rakov Potok","Zagrebačka"
"5050","Rakovačko Selište","47245","Rakovica","Karlovačka"
"5051","Rakovci","52445","Baderna","Istarska"
"5052","Rakovec","42222","Ljubeščica","Varaždinska"
"5053","Rakovec","10347","Rakovec","Zagrebačka"
"5054","Rakovec Tomaševečki","49290","Klanjec","Krapinsko-zagorska"
"5055","Rakovica","47245","Rakovica","Karlovačka"
"5056","Ramanovci","34334","Kaptol","Požeško-slavonska"
"5057","Ramljane","21229","Crivac","Splitsko-dalmatinska"
"5058","Ramljane","22300","Knin","Šibensko-kninska"
"5059","Ramljani","53224","Ličko Lešće","Ličko-senjska"
"5060","Randići","51221","Kostrena","Primorsko-goranska"
"5061","Rapain Klanac","53260","Brinje","Ličko-senjska"
"5062","Rapanji","52342","Svetvinčenat","Istarska"
"5063","Rapavel","52463","Višnjan (Visignano)","Istarska"
"5064","Rasinja","48312","Rasinja","Koprivničko-križevačka"
"5065","Raskrižje","51301","Brod na Kupi","Primorsko-goranska"
"5066","Raskrižje Tihovo","51300","Delnice","Primorsko-goranska"
"5067","Raslina","22215","Zaton","Šibensko-kninska"
"5068","Rasna","34322","Brestovac","Požeško-slavonska"
"5069","Rasohe","51301","Brod na Kupi","Primorsko-goranska"
"5070","Rasopasno","51511","Malinska","Primorsko-goranska"
"5071","Rastičevo","23440","Gračac","Zadarska"
"5072","Rastoka","53211","Smiljan","Ličko-senjska"
"5073","Rastoke","47240","Slunj","Karlovačka"
"5074","Rastoki","10450","Jastrebarsko","Zagrebačka"
"5075","Rastovac","21270","Zagvozd","Splitsko-dalmatinska"
"5076","Rastovac","21228","Blizna Donja","Splitsko-dalmatinska"
"5077","Rastovac","43290","Grubišno Polje","Bjelovarsko-bilogorska"
"5078","Rastovac","43231","Ivanska","Bjelovarsko-bilogorska"
"5079","Rastovac Budački","47242","Krnjak","Karlovačka"
"5080","Rastovača","53231","Plitvička Jezera","Ličko-senjska"
"5081","Rastušje","35107","Podvinje","Brodsko-posavska"
"5082","Raša","52223","Raša","Istarska"
"5083","Raščane","21273","Župa","Splitsko-dalmatinska"
"5084","Raščane Gornje","21273","Župa","Splitsko-dalmatinska"
"5085","Raščani","48264","Kloštar Vojakovački","Koprivničko-križevačka"
"5086","Rašpor","52422","Lanišće","Istarska"
"5087","Raštević","23420","Benkovac","Zadarska"
"5088","Ratkov Dol","31416","Levanjska Varoš","Osječko-baranjska"
"5089","Ratkovac","35429","Gornji Bogićevci","Brodsko-posavska"
"5090","Ratkovec","49250","Zlatar","Krapinsko-zagorska"
"5091","Ratkovica","34315","Ratkovica","Požeško-slavonska"
"5092","Ratulje","51218","Dražice","Primorsko-goranska"
"5093","Rausovac","44430","Hrvatska Kostajnica","Sisačko-moslavačka"
"5094","Rava","23283","Rava","Zadarska"
"5095","Ravan","35252","Sibinj","Brodsko-posavska"
"5096","Ravča","21276","Vrgorac","Splitsko-dalmatinska"
"5097","Ravna Gora","51314","Ravna Gora","Primorsko-goranska"
"5098","Ravneš","43274","Severin","Bjelovarsko-bilogorska"
"5099","Ravni","52220","Labin","Istarska"
"5100","Ravni Dabar","53206","Brušane","Ličko-senjska"
"5101","Ravnica","47272","Ribnik","Karlovačka"
"5102","Ravnice","51305","Tršće","Primorsko-goranska"
"5103","Ravnice","49214","Veliko Trgovišće","Krapinsko-zagorska"
"5104","Ravnice Desinićke","49216","Desinić","Krapinsko-zagorska"
"5105","Ravninsko","49225","Đurmanec","Krapinsko-zagorska"
"5106","Ravno Brezje","49295","Kumrovec","Krapinsko-zagorska"
"5107","Ravno Rašće","44400","Glina","Sisačko-moslavačka"
"5108","Razbojište","31433","Podgorač","Osječko-baranjska"
"5109","Razdrto","51312","Brod Moravice","Primorsko-goranska"
"5110","Razdrto Tuheljsko","49295","Kumrovec","Krapinsko-zagorska"
"5111","Razloge","51317","Crni Lug","Primorsko-goranska"
"5112","Razloški Okrug","51317","Crni Lug","Primorsko-goranska"
"5113","Razljev","10315","Novoselec","Zagrebačka"
"5114","Razvođe","22303","Oklaj","Šibensko-kninska"
"5115","Razvor","49295","Kumrovec","Krapinsko-zagorska"
"5116","Ražanac","23248","Ražanac","Zadarska"
"5117","Ražanj","22203","Rogoznica","Šibensko-kninska"
"5118","Rebić","53234","Udbina","Ličko-senjska"
"5119","Rebići","52207","Barban","Istarska"
"5120","Rebrovići","47264","Tounj","Karlovačka"
"5121","Rečica","47203","Rečica","Karlovačka"
"5122","Rečica Kriška","10315","Novoselec","Zagrebačka"
"5123","Redovje","10453","Gorica Svetojanska","Zagrebačka"
"5124","Reka","48000","Koprivnica","Koprivničko-križevačka"
"5125","Remetinec","42220","Novi Marof","Varaždinska"
"5126","Remetinec","10345","Gradec","Zagrebačka"
"5127","Removac","43532","Đulovac","Bjelovarsko-bilogorska"
"5128","Rendulići","47251","Bosiljevo","Karlovačka"
"5129","Repaš","48327","Molve","Koprivničko-križevačka"
"5130","Repićevo Selo","49245","Gornja Stubica","Krapinsko-zagorska"
"5131","Repinec","10345","Gradec","Zagrebačka"
"5132","Repišće","10450","Jastrebarsko","Zagrebačka"
"5133","Repno","49254","Belec","Krapinsko-zagorska"
"5134","Repovec","49210","Zabok","Krapinsko-zagorska"
"5135","Repušnica","44320","Kutina","Sisačko-moslavačka"
"5136","Resnatac","51311","Skrad","Primorsko-goranska"
"5137","Resnik","34310","Pleternica","Požeško-slavonska"
"5138","Resnik Bosiljevski","47251","Bosiljevo","Karlovačka"
"5139","Rešetar","53233","Ličko Petrovo Selo","Ličko-senjska"
"5140","Rešetarevo","47250","Duga Resa","Karlovačka"
"5141","Rešetari","35403","Rešetari","Brodsko-posavska"
"5142","Reškovci","43211","Predavac","Bjelovarsko-bilogorska"
"5143","Reštovo","47282","Kamanje","Karlovačka"
"5144","Reštovo Žumberačko","10457","Sošice","Zagrebačka"
"5145","Retkovci","32282","Retkovci","Vukovarsko-srijemska"
"5146","Retkovec Svibovečki","42223","Varaždinske Toplice","Varaždinska"
"5147","Rezovac","33000","Virovitica","Virovitičko-podravska"
"5148","Rezovačke Krčevine","33000","Virovitica","Virovitičko-podravska"
"5149","Režanci","52342","Svetvinčenat","Istarska"
"5150","Ribari","47212","Skakavac","Karlovačka"
"5151","Ribić Breg","42240","Ivanec","Varaždinska"
"5152","Ribnica","10415","Novo Čiče","Zagrebačka"
"5153","Ribnik","47272","Ribnik","Karlovačka"
"5154","Ribnjaci","43283","Kaniška Iva","Bjelovarsko-bilogorska"
"5155","Ribnjačka","43273","Bulinac","Bjelovarsko-bilogorska"
"5156","Ribnjak","48312","Rasinja","Koprivničko-križevačka"
"5157","Ribnjak","31225","Breznica Našička","Osječko-baranjska"
"5158","Ričice","53244","Lovinac","Ličko-senjska"
"5159","Ričice","21267","Ričice","Splitsko-dalmatinska"
"5160","Ričina","51243","Tribalj","Primorsko-goranska"
"5161","Riđane","22300","Knin","Šibensko-kninska"
"5162","Riđica","20234","Orašac","Dubrovačko-neretvanska"
"5163","Rijeka","51000","Rijeka","Primorsko-goranska"
"5164","Rijeka Koprivnička","48306","Sokolovac","Koprivničko-križevačka"
"5165","Rijeka Voćanska","42245","Donja Voća","Varaždinska"
"5166","Rijenci","33517","Mikleuš","Virovitičko-podravska"
"5167","Rim","52425","Roč","Istarska"
"5168","Rim","51329","Severin na Kupi","Primorsko-goranska"
"5169","Rimnjak","52420","Buzet","Istarska"
"5170","Rinkovec","42253","Bednja","Varaždinska"
"5171","Ripenda Kosi","52220","Labin","Istarska"
"5172","Ripenda Kras","52220","Labin","Istarska"
"5173","Ripenda Verbanci","52220","Labin","Istarska"
"5174","Risika","51516","Vrbnik","Primorsko-goranska"
"5175","Risvica","49295","Kumrovec","Krapinsko-zagorska"
"5176","Rit","33407","Gornje Bazje","Virovitičko-podravska"
"5177","Rivalno","42232","Donji Martijanec","Varaždinska"
"5178","Rivanj","23291","Sestrunj","Zadarska"
"5179","Rizvanuša","53206","Brušane","Ličko-senjska"
"5180","Robađe","40312","Štrigova","Međimurska"
"5181","Roč","52425","Roč","Istarska"
"5182","Ročko Polje","52425","Roč","Istarska"
"5183","Rodaljice","23420","Benkovac","Zadarska"
"5184","Rodin Potok","33410","Suhopolje","Virovitičko-podravska"
"5185","Rogačić","21480","Vis","Splitsko-dalmatinska"
"5186","Rogi","51301","Brod na Kupi","Primorsko-goranska"
"5187","Rogočana","52220","Labin","Istarska"
"5188","Rogotin","20343","Rogotin","Dubrovačko-neretvanska"
"5189","Rogovac","33404","Špišić Bukovica","Virovitičko-podravska"
"5190","Rogovići","52465","Tar (Torre)","Istarska"
"5191","Rogoznica","22203","Rogoznica","Šibensko-kninska"
"5192","Rogoža","43282","Veliko Vukovje","Bjelovarsko-bilogorska"
"5193","Rogulje","44440","Dvor","Sisačko-moslavačka"
"5194","Rogulje","34553","Bučje","Požeško-slavonska"
"5195","Rogulje","34550","Pakrac","Požeško-slavonska"
"5196","Rojci","52464","Kaštelir (Castelliere)","Istarska"
"5197","Rojnići","52207","Barban","Istarska"
"5198","Rokovci","32271","Rokovci Andrijaševci","Vukovarsko-srijemska"
"5199","Ropa","20225","Babino Polje","Dubrovačko-neretvanska"
"5200","Ropci","51243","Tribalj","Primorsko-goranska"
"5201","Rosopajnik","47271","Netretić","Karlovačka"
"5202","Rosulje","44430","Hrvatska Kostajnica","Sisačko-moslavačka"
"5203","Rošini","52446","Nova Vas","Istarska"
"5204","Roškići","52464","Kaštelir (Castelliere)","Istarska"
"5205","Rovanjska","23450","Obrovac","Zadarska"
"5206","Rovanjska","23244","Starigrad Paklenica","Zadarska"
"5207","Rovci","48267","Orehovec","Koprivničko-križevačka"
"5208","Rovinj","52210","Rovinj (Rovigno)","Istarska"
"5209","Rovinjsko Selo","52210","Rovinj (Rovigno)","Istarska"
"5210","Rovišće","43212","Rovišće","Bjelovarsko-bilogorska"
"5211","Roviška","44400","Glina","Sisačko-moslavačka"
"5212","Rovištanci","48000","Koprivnica","Koprivničko-križevačka"
"5213","Rovno","49234","Petrovsko","Krapinsko-zagorska"
"5214","Rozga","10293","Dubravica","Zagrebačka"
"5215","Rozmajerovac","31500","Našice","Osječko-baranjska"
"5216","Rožat","20236","Mokošica","Dubrovačko-neretvanska"
"5217","Roždanik","44323","Rajić","Sisačko-moslavačka"
"5218","Rože","21245","Tijarica","Splitsko-dalmatinska"
"5219","Roženica","10414","Pokupsko","Zagrebačka"
"5220","Rožići","51221","Kostrena","Primorsko-goranska"
"5221","Rožmanići","51221","Kostrena","Primorsko-goranska"
"5222","Rtić","51328","Lukovdol","Primorsko-goranska"
"5223","Rtina","23248","Ražanac","Zadarska"
"5224","Rubeši","51215","Kastav","Primorsko-goranska"
"5225","Ruča","10411","Orle","Zagrebačka"
"5226","Ruda","21242","Grab","Splitsko-dalmatinska"
"5227","Rudani","52341","Žminj","Istarska"
"5228","Rudanovac","53230","Korenica","Ličko-senjska"
"5229","Rude","10430","Samobor","Zagrebačka"
"5230","Rude Pribićke","10454","Krašić","Zagrebačka"
"5231","Rudeži","44440","Dvor","Sisačko-moslavačka"
"5232","Rudina","21460","Stari Grad","Splitsko-dalmatinska"
"5233","Rudine","51514","Dobrinj","Primorsko-goranska"
"5234","Rudinka","53203","Kosinj","Ličko-senjska"
"5235","Rudopolje","53223","Vrhovine","Ličko-senjska"
"5236","Rudopolje Bruvanjsko","23440","Gračac","Zadarska"
"5237","Rugvica","10370","Dugo Selo","Zagrebačka"
"5238","Rujevac","44440","Dvor","Sisačko-moslavačka"
"5239","Rujevo","47282","Kamanje","Karlovačka"
"5240","Rukavac","51211","Matulji","Primorsko-goranska"
"5241","Rukavac","21480","Vis","Splitsko-dalmatinska"
"5242","Rukljevina","42223","Varaždinske Toplice","Varaždinska"
"5243","Rumin","21233","Hrvace","Splitsko-dalmatinska"
"5244","Runović","21261","Runović","Splitsko-dalmatinska"
"5245","Rupa","51214","Šapjane","Primorsko-goranska"
"5246","Rupalj","23241","Poličnik","Zadarska"
"5247","Rupe","22222","Skradin","Šibensko-kninska"
"5248","Rupeni","52445","Baderna","Istarska"
"5249","Rusnica","49231","Hum na Sutli","Krapinsko-zagorska"
"5250","Rušani","33411","Gradina","Virovitičko-podravska"
"5251","Ruščica","35208","Ruščica","Brodsko-posavska"
"5252","Ruševac","34322","Brestovac","Požeško-slavonska"
"5253","Ruševac","48264","Kloštar Vojakovački","Koprivničko-križevačka"
"5254","Ruševica","47222","Cetingrad","Karlovačka"
"5255","Ruševo","34350","Čaglin","Požeško-slavonska"
"5256","Ruševo Krmpotsko","51252","Klenovica","Primorsko-goranska"
"5257","Ruškovac","43232","Berek","Bjelovarsko-bilogorska"
"5258","Ruškovica","44316","Velika Ludina","Sisačko-moslavačka"
"5259","Ružić","22322","Ružić","Šibensko-kninska"
"5260","Ružić Selo","51226","Hreljin","Primorsko-goranska"
"5261","Ružići","52231","Nedešćina","Istarska"
"5262","Ružići","52440","Poreč (Parenzo)","Istarska"
"5263","Ružići","51213","Jurdani","Primorsko-goranska"
"5264","Ržišće","52231","Nedešćina","Istarska"
"5265","Sabljaki Modruški","47303","Josipdol","Karlovačka"
"5266","Sabljići","51511","Malinska","Primorsko-goranska"
"5267","Saborsko","47306","Saborsko","Karlovačka"
"5268","Sadikovac","47222","Cetingrad","Karlovačka"
"5269","Sadilovac","47246","Drežnik Grad","Karlovačka"
"5270","Saftići","51244","Grižane","Primorsko-goranska"
"5271","Salajci","10345","Gradec","Zagrebačka"
"5272","Salakovci","52220","Labin","Istarska"
"5273","Salambati","52342","Svetvinčenat","Istarska"
"5274","Salež","52420","Buzet","Istarska"
"5275","Sali","23281","Sali","Zadarska"
"5276","Salinovec","42240","Ivanec","Varaždinska"
"5277","Salnik","10383","Komin","Zagrebačka"
"5278","Salopek Luke","47240","Slunj","Karlovačka"
"5279","Salopeki Modruški","47303","Josipdol","Karlovačka"
"5280","Samarica","43232","Berek","Bjelovarsko-bilogorska"
"5281","Samatovci","31222","Bizovac","Osječko-baranjska"
"5282","Samci","49245","Gornja Stubica","Krapinsko-zagorska"
"5283","Samobor","10430","Samobor","Zagrebačka"
"5284","Samoborec","10347","Rakovec","Zagrebačka"
"5285","Samoborski Otok","10430","Samobor","Zagrebačka"
"5286","Santalezi","52231","Nedešćina","Istarska"
"5287","Santrići","21255","Zadvarje","Splitsko-dalmatinska"
"5288","Sapavac","23234","Vir","Zadarska"
"5289","Sapci","35212","Garčin","Brodsko-posavska"
"5290","Sapina Doca","22203","Rogoznica","Šibensko-kninska"
"5291","Saplunara","20224","Maranovići","Dubrovačko-neretvanska"
"5292","Sapna","34350","Čaglin","Požeško-slavonska"
"5293","Sarovo","47261","Zvečaj","Karlovačka"
"5294","Saršoni","51216","Viškovo","Primorsko-goranska"
"5295","Sarvaš","31000","Osijek","Osječko-baranjska"
"5296","Sasi","10410","Velika Gorica","Zagrebačka"
"5297","Sasovac","43272","Nova Rača","Bjelovarsko-bilogorska"
"5298","Sastavak","47240","Slunj","Karlovačka"
"5299","Satnica","31222","Bizovac","Osječko-baranjska"
"5300","Satnica Đakovačka","31421","Satnica Đakovačka","Osječko-baranjska"
"5301","Satrić","21233","Hrvace","Splitsko-dalmatinska"
"5302","Savar","23285","Brbinj","Zadarska"
"5303","Savršćak","10430","Samobor","Zagrebačka"
"5304","Savska Cesta","10340","Vrbovec","Zagrebačka"
"5305","Savska Ves","40000","Čakovec","Međimurska"
"5306","Savski Bok","35400","Nova Gradiška","Brodsko-posavska"
"5307","Savski Marof","10291","Prigorje Brdovečko","Zagrebačka"
"5308","Savudrija","52475","Savudrija (Salvore)","Istarska"
"5309","Sažije","34322","Brestovac","Požeško-slavonska"
"5310","Sedalce","51302","Kuželj","Primorsko-goranska"
"5311","Sedlarica","33405","Pitomača","Virovitičko-podravska"
"5312","Sedramić","22320","Drniš","Šibensko-kninska"
"5313","Seget","52470","Umag (Umago)","Istarska"
"5314","Seget Donji","21220","Trogir","Splitsko-dalmatinska"
"5315","Seget Gornji","21220","Trogir","Splitsko-dalmatinska"
"5316","Seget Vranjica","21220","Trogir","Splitsko-dalmatinska"
"5317","Segovina","42230","Ludbreg","Varaždinska"
"5318","Seketin","42204","Turčin","Varaždinska"
"5319","Sekirevo Selo","49245","Gornja Stubica","Krapinsko-zagorska"
"5320","Sekirišće","49223","Sveti Križ Začretje","Krapinsko-zagorska"
"5321","Sekulići","47285","Radatovići","Karlovačka"
"5322","Sekulinci","33522","Voćin","Virovitičko-podravska"
"5323","Sela","44273","Sela","Sisačko-moslavačka"
"5324","Sela Bosiljevska","47251","Bosiljevo","Karlovačka"
"5325","Sela Ravenska","48265","Raven","Koprivničko-križevačka"
"5326","Sela Žakanjska","47276","Žakanje","Karlovačka"
"5327","Selakova Poljana","47220","Vojnić","Karlovačka"
"5328","Selanec","48267","Orehovec","Koprivničko-križevačka"
"5329","Selca","52420","Buzet","Istarska"
"5330","Selca","21425","Selca","Splitsko-dalmatinska"
"5331","Selca kod Bogomolja","21467","Gdinj","Splitsko-dalmatinska"
"5332","Selca kod Starog Grada","21460","Stari Grad","Splitsko-dalmatinska"
"5333","Selce","51266","Selce","Primorsko-goranska"
"5334","Selce Žumberačko","10432","Bregana","Zagrebačka"
"5335","Selci","31222","Bizovac","Osječko-baranjska"
"5336","Selci Đakovački","31415","Selci Đakovački","Osječko-baranjska"
"5337","Selci Križovljanski","42208","Cestica","Varaždinska"
"5338","Selina","52448","Sveti Lovreč","Istarska"
"5339","Seline","23244","Starigrad Paklenica","Zadarska"
"5340","Selišće Sunjsko","44210","Sunja","Sisačko-moslavačka"
"5341","Selište","44320","Kutina","Sisačko-moslavačka"
"5342","Selište Kostajničko","44430","Hrvatska Kostajnica","Sisačko-moslavačka"
"5343","Selna","35212","Garčin","Brodsko-posavska"
"5344","Selnica","40314","Selnica","Međimurska"
"5345","Selnica","49246","Marija Bistrica","Krapinsko-zagorska"
"5346","Selnica","10410","Velika Gorica","Zagrebačka"
"5347","Selnica Miholečka","48267","Orehovec","Koprivničko-križevačka"
"5348","Selnica Podravska","48317","Legrad","Koprivničko-križevačka"
"5349","Selnica Psarjevačka","10380","Sveti Ivan Zelina","Zagrebačka"
"5350","Selnik","42230","Ludbreg","Varaždinska"
"5351","Selnik","42243","Maruševec","Varaždinska"
"5352","Selno","49217","Krapinske Toplice","Krapinsko-zagorska"
"5353","Selo","51305","Tršće","Primorsko-goranska"
"5354","Selsko Brdo","10451","Pisarovina","Zagrebačka"
"5355","Seljaci","52420","Buzet","Istarska"
"5356","Seljanec","42242","Radovan","Varaždinska"
"5357","Semeljci","31402","Semeljci","Osječko-baranjska"
"5358","Semičevići","51243","Tribalj","Primorsko-goranska"
"5359","Semić","52426","Lupoglav","Istarska"
"5360","Senj","52420","Buzet","Istarska"
"5361","Senj","53270","Senj","Ličko-senjska"
"5362","Senjska Draga","53270","Senj","Ličko-senjska"
"5363","Seoca","21254","Blato na Cetini","Splitsko-dalmatinska"
"5364","Seoce","35410","Nova Kapela","Brodsko-posavska"
"5365","Seoci","34000","Požega","Požeško-slavonska"
"5366","Seočani","47313","Drežnica","Karlovačka"
"5367","Seona","31500","Našice","Osječko-baranjska"
"5368","Sertić Poljana","53231","Plitvička Jezera","Ličko-senjska"
"5369","Sestrunj","23291","Sestrunj","Zadarska"
"5370","Sesvete","34312","Sesvete (kod Požege)","Požeško-slavonska"
"5371","Sesvete","10360","Sesvete","Grad zagreb"
"5372","Sesvete Ludbreške","42233","Sveti Đurđ","Varaždinska"
"5373","Sesvetski Kraljevec","10361","Sesvete-Kraljevec","Grad zagreb"
"5374","Setuš","44000","Sisak","Sisačko-moslavačka"
"5375","Severin","43274","Severin","Bjelovarsko-bilogorska"
"5376","Severin na Kupi","51329","Severin na Kupi","Primorsko-goranska"
"5377","Severovci","48350","Đurđevac","Koprivničko-križevačka"
"5378","Sevid","21222","Marina","Splitsko-dalmatinska"
"5379","Sibenik","43270","Veliki Grđevac","Bjelovarsko-bilogorska"
"5380","Sibić","44250","Petrinja","Sisačko-moslavačka"
"5381","Sibinj","35252","Sibinj","Brodsko-posavska"
"5382","Sibinj Krmpotski","51252","Klenovica","Primorsko-goranska"
"5383","Sibokovac","34350","Čaglin","Požeško-slavonska"
"5384","Siča","47252","Barilović","Karlovačka"
"5385","Sičane","21232","Dicmo","Splitsko-dalmatinska"
"5386","Sičice","35423","Vrbje","Brodsko-posavska"
"5387","Siće","35410","Nova Kapela","Brodsko-posavska"
"5388","Sigetac Novski","44330","Novska","Sisačko-moslavačka"
"5389","Sigetec","48321","Peteranec","Koprivničko-križevačka"
"5390","Sigetec Ludbreški","42230","Ludbreg","Varaždinska"
"5391","Sikirevci","35224","Sikirevci","Brodsko-posavska"
"5392","Sikovo","23207","Sveti Filip i Jakov","Zadarska"
"5393","Silaš","31214","Laslovo (Szentlászló)","Osječko-baranjska"
"5394","Silba","23295","Silba","Zadarska"
"5395","Sinac","53224","Ličko Lešće","Ličko-senjska"
"5396","Sinlije","35404","Cernik","Brodsko-posavska"
"5397","Sinožići","52445","Baderna","Istarska"
"5398","Sinj","21230","Sinj","Splitsko-dalmatinska"
"5399","Sirač","43541","Sirač","Bjelovarsko-bilogorska"
"5400","Sirotići","52420","Buzet","Istarska"
"5401","Sirova Katalena","48350","Đurđevac","Koprivničko-križevačka"
"5402","Sisak","44000","Sisak","Sisačko-moslavačka"
"5403","Sisak-Caprag","44010","Sisak-Caprag","Sisačko-moslavačka"
"5404","Siščani","43240","Čazma","Bjelovarsko-bilogorska"
"5405","Sitno Donje","22205","Perković","Šibensko-kninska"
"5406","Siverić","22321","Siverić","Šibensko-kninska"
"5407","Sivica","40317","Podturen","Međimurska"
"5408","Sječevac","10456","Kalje","Zagrebačka"
"5409","Sjeničak Lasinjski","47212","Skakavac","Karlovačka"
"5410","Sjeverovac","44211","Blinjski Kut","Sisačko-moslavačka"
"5411","Skakavac","47212","Skakavac","Karlovačka"
"5412","Skela","44400","Glina","Sisačko-moslavačka"
"5413","Skenderovci","34551","Lipik","Požeško-slavonska"
"5414","Skenderovci","34322","Brestovac","Požeško-slavonska"
"5415","Skitača","52222","Koromačno","Istarska"
"5416","Skoblić Brdo","47251","Bosiljevo","Karlovačka"
"5417","Skrad","51311","Skrad","Primorsko-goranska"
"5418","Skradin","22222","Skradin","Šibensko-kninska"
"5419","Skradinsko Polje","22222","Skradin","Šibensko-kninska"
"5420","Skradnik","47302","Oštarije","Karlovačka"
"5421","Skradsko Selo","47272","Ribnik","Karlovačka"
"5422","Skrbčići","51500","Krk","Primorsko-goranska"
"5423","Skrivena Luka","20290","Lastovo","Dubrovačko-neretvanska"
"5424","Skukani","47262","Generalski Stol","Karlovačka"
"5425","Skupica","47250","Duga Resa","Karlovačka"
"5426","Slabinja","44450","Hrvatska Dubica","Sisačko-moslavačka"
"5427","Sladojevački Lug","33520","Slatina","Virovitičko-podravska"
"5428","Sladojevci","33520","Slatina","Virovitičko-podravska"
"5429","Slakovci","32242","Slakovci","Vukovarsko-srijemska"
"5430","Slakovec","40305","Nedelišće","Međimurska"
"5431","Slana","44250","Petrinja","Sisačko-moslavačka"
"5432","Slani Dol","10430","Samobor","Zagrebačka"
"5433","Slani Potok","49245","Gornja Stubica","Krapinsko-zagorska"
"5434","Slano","20232","Slano","Dubrovačko-neretvanska"
"5435","Slanje","42230","Ludbreg","Varaždinska"
"5436","Slapnica","10430","Samobor","Zagrebačka"
"5437","Slapno","47281","Mali Erjavec","Karlovačka"
"5438","Slatina","10346","Preseka","Zagrebačka"
